"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"LST1",5.46899123325086e-201,1.29420195203822,0.955,0.238,7.50017457728023e-197,"2","LST1"
"GSTP1",6.99703628994252e-197,1.67955598029432,0.939,0.364,9.59573556802717e-193,"2","GSTP1"
"FTL",5.18986539764721e-191,1.67877913059472,1,0.985,7.11738140633339e-187,"2","FTL"
"S100A6",1.47999145518398e-186,1.34823342506185,0.993,0.74,2.0296602816393e-182,"2","S100A6"
"FTH1",5.60195839534385e-179,1.4314403685841,1,0.986,7.68252574337456e-175,"2","FTH1"
"CTSS",8.64385475851715e-169,1.44348356030391,0.939,0.434,1.18541824158304e-164,"2","CTSS"
"CEBPD",7.51070061438249e-167,1.47929711492652,0.695,0.131,1.03001748225642e-162,"2","CEBPD"
"FCER1G",1.75667281753701e-166,1.14464040810009,0.932,0.244,2.40910110197025e-162,"2","FCER1G"
"AP1S2",4.61400585721305e-161,1.49264694155089,0.765,0.205,6.32764763258198e-157,"2","AP1S2"
"CD68",4.88080252327294e-161,1.36078654247762,0.699,0.125,6.6935325804165e-157,"2","CD68"
"S100A4",8.67137334520102e-161,1.10489221085572,1,0.776,1.18919214056087e-156,"2","S100A4"
"FOLR3",3.1023194477942e-158,1.24761877619245,0.33,0.005,4.25452089070497e-154,"2","FOLR3"
"LGALS3",8.30844968969915e-156,1.51314431894963,0.71,0.154,1.13942079044534e-151,"2","LGALS3"
"CSF3R",6.47982703994064e-153,1.31920545709108,0.473,0.045,8.88643480257459e-149,"2","CSF3R"
"ASGR1",2.06589952818525e-151,1.20748293913103,0.382,0.019,2.83317461295325e-147,"2","ASGR1"
"OAZ1",3.45360089498316e-151,0.955441815306756,0.993,0.891,4.7362682673799e-147,"2","OAZ1"
"CDA",2.07758791570195e-150,1.32478369108784,0.538,0.069,2.84920406759365e-146,"2","CDA"
