Gene ID #2	Gene ID #1	Class	type
AGXT2L1	ID667	2	proliferation class
OTC	ID668	2	proliferation class
BTD	ID669	2	proliferation class
C6	ID670	2	proliferation class
MGC15937	ID671	2	proliferation class
SELENBP1	ID672	2	proliferation class
ETNK2	ID673	2	proliferation class
PCK1	ID674	2	proliferation class
ACYP2	ID675	2	proliferation class
NR1I2	ID676	2	proliferation class
LOC283537	ID677	2	proliferation class
cheylorby	ID678	2	proliferation class
ARGBP2	ID679	2	proliferation class
ETFDH	ID680	2	proliferation class
LRRNT.0	ID681	2	proliferation class
MTP	ID682	2	proliferation class
CPT2	ID683	2	proliferation class
tarzo	ID684	2	proliferation class
LOC440388	ID685	2	proliferation class
BHMT	ID686	2	proliferation class
ADRB2	ID687	2	proliferation class
