SYMBOL,GSM431121,GSM431122,GSM431123,GSM431124,GSM431125,GSM431126
TNFRSF10C,23.93647523,23.65472032,23.12329608,30.49318332,25.07455352,26.92049338
ZNF132,27.01384282,35.86328089,24.58195725,22.79961261,19.80359855,23.14013094
CD244,26.78593806,25.34002382,25.34002382,25.34002382,25.34002382,25.04879032
C3orf27,23.72466726,25.14892573,25.32893831,27.67976792,26.157435,25.14892573
TXNDC3,22.97123279,21.88007255,26.06381368,30.71716774,25.82401557,25.70930562
CENPJ,26.39704535,33.71124292,20.56707739,22.32707809,26.39704535,23.76044758
ACCN3,26.15398123,24.92436715,26.15398123,23.99874007,25.75298707,26.15398123
FOXF2,25.56108114,27.29909639,25.56108114,25.56108114,23.8681753,25.28224848
LECT1,25.41121023,25.79505429,26.33027506,23.25732274,26.76880191,25.5614972
PVRIG,25.94475362,25.52390183,23.06821977,25.94475362,25.94475362,26.69035622
HTR1A,23.75238366,25.44161241,27.93724578,23.66754055,25.44161241,26.86916626
PCDHGA11,24.89965082,23.38562467,25.88317492,25.4752368,27.59989015,25.86510331
GPM6A,23.90181861,23.94935292,24.0055842,26.56881703,27.94700858,26.72115402
CD33,25.58650087,26.40442709,27.44943266,25.9824711,25.72926951,21.92921616
PROM1,22.4917709,26.60783657,27.36751477,26.18694869,26.79273736,23.6127278
SETD1A,25.19416808,27.00243618,30.62976039,21.89808996,25.63786467,22.66456046
SLC9A5,25.69786078,25.26217568,25.26217568,21.4716097,25.99973569,29.32079156
MAGEB2,27.07852488,25.70930562,25.70930562,25.70930562,26.55566543,22.24362643
TMSL8,25.64135935,26.20669583,23.47898233,26.13464479,26.64729068,24.89504359
OR7C2,24.53434259,25.7437259,25.11328461,24.85697791,26.5875672,26.16563307
MAPK4,25.37477472,26.83552201,24.72772906,23.38280586,27.30133901,25.37477472
SLC18A3,23.40879009,24.99284652,25.06127599,29.00860959,30.31252499,20.20641943
KRTAP5-9,25.56108114,25.56108114,25.32067858,27.2880211,25.62837114,23.61214133
SLC4A3,23.57807583,21.46626465,26.72424435,26.89095636,30.55247279,23.74691328
WFDC1,25.16255124,25.50911742,30.21512653,24.64434417,23.60999366,23.81182728
GNRH2,23.7493518,25.27502063,24.98088391,25.27502063,26.15398123,27.51590218
GPR157,25.67594969,25.605205,25.605205,24.39161076,24.93360581,26.72977675
TRPM3,24.73838981,26.44515306,24.8142673,25.4752368,26.31045657,25.15302405
APOBEC1,23.20275155,23.91498701,20.45721149,31.01161759,26.02027013,28.32682956
LILRA4,28.41258827,25.17593745,25.1181209,24.97362386,24.27454131,24.97362386
HNRPA3P1,23.56260871,26.98263772,26.23441281,25.38015102,25.38015102,25.38015102
AMBN,23.74360872,25.34583117,23.74360872,25.94670134,30.87393863,23.25879552
FCN3,23.7755472,23.61229178,29.16042772,22.09613175,29.73395961,24.51014732
PHYHIP,25.92573908,24.83605628,25.23408379,26.0718532,26.7375701,24.07911542
MTHFSD,25.25623018,27.20773263,24.75419447,25.25623018,25.99571661,24.39480736
MGC12488,26.15398123,21.77431009,24.8002896,28.12140543,25.76608722,26.21650558
LHX1,24.28021932,23.86140553,27.12837846,28.71343406,22.58566685,26.22083596
TP73,23.41382588,25.57282986,25.96391507,26.98157786,26.91279254,23.94334591
MYOC,24.43499391,25.36195192,28.34277389,24.88284728,27.56720456,22.16050834
ELA3A,23.59596107,23.53135681,24.58772779,24.58772779,26.27554319,30.17028157
OR7E37P ,19.00526917,19.03484985,28.44197716,26.22682351,31.20689218,28.79880002
SLC2A10,22.80588831,24.64434417,24.64434417,28.71664922,27.21789767,24.64434417
PLEK,24.26131117,24.19560748,23.12678632,30.97160137,25.56512649,24.55192508
AKR1C4,26.07323676,28.0970215,25.92742497,26.46247889,23.39406359,22.67593917
EGR4,22.37666112,21.1079917,24.90351689,27.68918005,30.72988686,25.79992282
TRPV5,23.24158923,22.48742286,25.79426681,28.14414478,26.34673209,26.56357966
FLJ13310,24.87316489,23.06775904,24.43009447,27.82875874,26.82103103,25.55398198
RNASE3,24.63441671,25.77417268,25.77417268,25.93682996,29.03528275,21.41766232
LOC400451,24.68685004,26.13873835,26.66111514,26.32036275,25.63470594,23.10942382
FGB,23.96174569,24.65893623,24.36642119,23.77112719,26.0834918,29.69070426
KRT38,25.04816552,23.42045013,30.45185092,25.04816552,23.35337243,25.199403
VCX ,23.28151023,27.11475652,25.70130408,28.07616479,24.41391717,23.90030627
SEMA6C,24.45033992,29.37606308,21.24339254,26.80524822,24.55719229,26.05298443
SERPINA7,24.86456148,21.42156185,25.25623018,27.11540458,28.38976063,25.42357924
UMOD,26.56482923,23.19829202,25.27502063,25.27502063,26.42443088,25.70930562
TUBB4Q ,26.95033989,24.25762137,23.14217373,24.58195725,24.27218455,29.23949836
NPAS1,26.89327043,25.79505429,24.52914878,24.95746714,26.13503859,24.1273348
FNDC8,22.67464723,26.81438514,25.8736504,25.19219027,29.64768417,22.21676154
CXorf27,24.58970089,24.514268,23.44826468,23.52676177,31.60302252,24.58970089
ELA2,23.37118113,24.64773082,27.23379093,27.48751171,25.4752368,24.0116165
KCNH6,25.32952123,23.10710033,25.14244387,30.70532103,24.30233794,23.63547533
AURKC,23.56467567,24.9294422,24.58923281,30.08224048,24.77360169,24.26306126
C9orf61,22.98698951,24.514268,27.32646269,26.4703562,25.42130179,25.42130179
MYEF2,25.51752906,24.79230376,25.43325523,24.91857315,26.55566543,24.9124071
JPH2,22.4657285,25.67471802,25.56938241,29.22056504,23.52394206,25.67471802
TLE6,24.28021932,24.01835323,30.15325828,24.58772779,22.86146174,26.21650558
SLC1A1,27.87261448,23.00415814,25.79220578,23.94697326,25.79220578,25.70930562
ANP32C,25.35260492,25.35260492,25.00706926,25.35260492,24.05752757,26.98424841
CAND2,24.49340972,24.64434417,24.0949933,29.07815237,22.3853598,27.36379585
KCNAB3,25.76732564,24.45502982,24.11280552,26.29227831,24.14679331,27.23388995
TCF25,25.31549355,23.41397195,26.10992815,27.47752443,26.10992815,23.57030903
XYLB,29.32579817,24.27454131,24.27454131,23.45051403,24.40148769,26.24494395
LOC400410,25.45798117,31.71652571,24.5959635,23.54232139,23.26334836,23.39550258
PDX1,23.13791613,24.99306499,27.86823681,25.98068693,24.99306499,24.99306499
KIAA1045,25.19201602,27.8288443,25.55398198,25.41774842,23.86496176,24.10134291
RXRG,22.01466818,26.33680924,27.61341757,21.93561137,29.26266976,24.77352333
C4BPA,25.31549355,27.86105056,25.31549355,23.38673703,25.4752368,24.57707519
