,TCGA-3X-AAV9-01,TCGA-3X-AAVA-01,TCGA-3X-AAVB-01,TCGA-3X-AAVC-01,TCGA-3X-AAVE-01,TCGA-4G-AAZO-01,TCGA-4G-AAZT-01,TCGA-W5-AA2G-01,TCGA-W5-AA2H-01,TCGA-W5-AA2I-01,TCGA-W5-AA2O-01,TCGA-W5-AA2Q-01,TCGA-W5-AA2T-01,TCGA-W5-AA2U-01,TCGA-W5-AA2W-01,TCGA-W5-AA2X-01,TCGA-W5-AA2Z-01,TCGA-W5-AA30-01,TCGA-W5-AA31-01,TCGA-W5-AA33-01,TCGA-W5-AA34-01,TCGA-W5-AA36-01,TCGA-W5-AA38-01,TCGA-W5-AA39-01,TCGA-W6-AA0S-01,TCGA-WD-A7RX-01,TCGA-YR-A95A-01,TCGA-ZD-A8I3-01,TCGA-ZH-A8Y1-01,TCGA-ZH-A8Y2-01,TCGA-ZH-A8Y4-01,TCGA-ZH-A8Y5-01,TCGA-ZH-A8Y6-01,TCGA-ZH-A8Y8-01,TCGA-ZU-A8S4-01,TCGA-W5-AA2I-11,TCGA-W5-AA2Q-11,TCGA-W5-AA2R-11,TCGA-W5-AA2U-11,TCGA-W5-AA2X-11,TCGA-W5-AA30-11,TCGA-W5-AA31-11,TCGA-W5-AA34-11,TCGA-ZU-A8S4-11
OR52I2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,5,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1
CDCA4P3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC091729.2,0,0,0,0,0,0,0,8,1,1,0,2,1,3,3,3,2,0,4,9,1,1,0,0,0,2,1,1,1,0,0,2,2,3,0,101,11,20,17,0,6,0,15,3
AL606495.1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RPSAP62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC122683.1,0,0,1,0,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0
NPY6R,1,2,1,8,2,0,0,1,8,0,2,0,1,1,16,0,4,0,4,6,0,0,0,0,1,1,6,3,0,37,11,0,5,8,0,61,16,16,1,21,17,24,14,21
HNRNPDLP1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL122058.1,8,0,2,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0
SMARCE1P2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL022157.1,8,20,10,3,4,19,9,8,12,1,6,17,19,16,9,36,14,9,7,4,10,15,10,2,15,6,9,4,5,12,18,22,8,8,5,0,0,3,0,7,5,1,1,0
CFLAR-AS1,31,24,43,23,44,13,18,48,27,9,83,35,14,59,27,23,32,43,64,59,13,13,12,10,95,22,59,50,31,23,26,36,20,71,11,10,1,18,4,25,8,13,14,7
MTCYBP12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS3AP38,6,3,9,3,3,3,2,4,11,0,2,18,7,12,4,17,15,14,31,8,4,1,0,4,1,3,10,8,11,5,10,18,34,16,3,0,0,0,1,2,1,2,2,1
CROCC2,1,1,5,3,0,1,0,3,33,1,1,2,2,6,0,341,1,2,7,2,0,1,2,5,2,2,2,0,3,1,2,0,14,4,1,26,23,31,14,33,13,40,42,15
AL358453.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPSAP49,1,1,1,0,1,1,0,2,6,2,2,3,0,3,0,2,1,0,2,1,2,1,2,1,0,0,2,1,0,0,1,1,0,0,2,0,0,1,0,0,0,1,0,1
AC005682.1,37,10,14,9,18,0,51,1,139,7,4,36,52,88,6,52,50,48,49,48,20,57,3,1,15,40,9,25,11,41,47,50,5,20,14,14,22,4,14,14,10,11,3,9
AL606489.1,8,32,29,86,24,31,5,50,0,24,13,38,37,80,53,56,49,151,13,53,12,10,19,27,26,43,43,76,43,61,64,65,46,72,39,0,0,3,1,1,2,2,7,2
RPL23AP28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL354836.1,63,186,98,164,147,53,557,39,113,926,119,105,172,56,90,162,70,124,113,123,142,307,211,42,179,280,227,182,164,84,44,295,97,53,74,15,8,21,18,40,20,11,16,13
AL359182.1,3,2,10,5,0,2,0,0,1,2,0,0,4,4,5,0,3,1,5,0,2,0,5,10,5,0,4,0,0,2,5,0,64,0,1,3,8,1,1,0,1,12,10,5
AL353616.2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AC079150.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RPS26P56,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AC105402.1,1,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,24,0,0,1,0,0,0,0,1,0,0,0
NMD3P1,3,1,1,2,1,0,0,1,0,0,0,3,0,0,0,0,4,2,1,3,0,0,0,1,0,2,0,0,0,1,5,0,5,0,1,0,0,0,0,0,0,1,0,0
AC083822.1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
VN2R10P,0,0,0,0,2,0,0,2,0,0,1,1,5,1,1,1,4,2,2,0,1,0,1,0,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
AC099066.1,0,0,3,1,1,0,1,0,0,1,1,8,1,0,0,0,1,1,0,2,1,0,0,0,2,1,0,1,0,0,0,4,1,1,0,0,0,0,0,1,0,0,1,1
PSPC1-AS2,10,8,18,15,11,7,1,3,42,3,9,26,17,5,8,29,7,22,23,1,11,4,4,10,7,8,14,16,9,6,8,27,14,7,4,4,3,1,2,5,5,3,4,0
AC092850.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRT8P38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ACTG1P24,1,3,0,2,2,4,0,5,5,7,5,8,15,3,14,6,1,5,1,4,2,1,3,2,1,7,14,12,1,9,7,10,8,4,1,0,0,3,1,0,3,1,1,1
AC096919.1,68,68,67,28,82,82,358,63,156,86,115,359,83,61,39,111,119,98,119,64,145,160,63,47,101,127,83,66,72,64,69,171,53,36,86,22,36,23,33,22,24,16,36,27
TERF1P5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
HAGLROS,38,12,14,23,18,1,11,9,9,2,4,11,4,6,5,7,21,115,49,32,3,8,7,0,5,2,13,18,13,1,6,10,5,5,10,0,1,0,0,2,1,0,0,0
LINC02089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
LINC00375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL022310.1,1,0,1,0,1,0,0,0,5,0,0,1,7,2,1,0,0,3,0,1,0,0,0,6,0,2,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
AC016831.1,10,3,38,73,12,18,38,23,61,14,33,9,15,25,41,72,5,31,36,18,21,3,16,4,27,14,71,8,21,7,8,16,21,40,31,2,7,42,26,13,21,13,5,18
PARD3-AS1,5,20,4,7,3,17,81,17,0,35,15,15,33,15,11,4,11,25,15,4,24,37,13,1,31,6,17,12,7,14,27,18,11,19,7,8,10,4,8,7,6,1,9,7
ELL2P4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPK6PS6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AL353658.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MTATP6P21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFNA20P,4,3,4,7,4,1,0,3,3,0,0,18,7,7,4,4,20,13,7,14,4,1,1,1,0,4,2,7,10,1,10,30,8,8,5,0,2,3,3,3,8,3,1,3
MRPS21P5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AL031727.1,36,28,35,33,26,31,54,16,280,55,45,19,58,31,20,67,26,32,61,26,98,43,26,45,31,55,28,44,32,34,46,40,27,54,29,8,17,6,16,17,16,7,3,8
C12ORF77,2,1,0,1,1,0,0,0,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
AC013480.1,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,481,0,0,0,0,0,0,0,0,0,0,0
AC010385.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL133325.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBMX2P1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
AC104058.1,0,1,0,2,1,1,0,2,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC018980.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR8T1P,5,7,3,1,1,0,10,0,1,2,0,27,1,3,3,1,7,0,1,10,1,2,0,0,1,4,0,4,63,2,11,7,1,1,0,1,1,0,0,1,0,2,1,0
TPI1P1,21,29,31,23,21,21,14,17,4,5,21,21,21,26,14,23,22,12,28,15,15,15,28,70,43,12,16,16,16,12,48,47,27,27,27,8,2,6,8,2,9,12,7,6
MRPL23-AS1,22,1,7,1,2,2,22,5,7,47,4,4,7,6,3,31,1,1,23,1,2,1,27,17,6,18,1,2,0,11,0,2,1,1,0,1,3,6,3,7,1,3,1,2
IGLV3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A5P5,1,0,3,18,1,0,1,1,4,0,0,1,1,0,0,39,0,22,5,0,13,0,1,3,2,0,0,2,2,24,0,2,10,1,3,1,1,0,0,0,0,0,1,0
AC093642.1,1,0,1,0,1,0,0,0,4,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
AL358613.1,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC012558.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMGN2P7,0,0,1,1,0,0,0,2,3,0,0,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RPL15P13,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
AL590399.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL121929.1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
AC010342.1,0,1,4,0,1,0,0,2,3,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,4,1,0,1,2,2,3,3,0,0,2,0,1,0,0,1,0,1
ANKRD18DP,1,2,3,181,2,0,1,1,13,26,40,4,3,59,1,5,18,9,4,5,0,6,2,4,14,0,1,0,1,3,5,1,7,1,7,21,8,19,16,7,16,4,10,3
AC002367.1,0,0,1,0,2,0,1,1,0,1,0,2,0,0,2,1,1,1,0,1,1,0,1,2,2,1,0,1,2,1,0,4,2,3,0,0,0,1,0,0,0,0,1,0
AL442071.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
AC108161.1,1,1,0,1,1,2,2,0,2,0,0,4,0,1,0,3,0,2,1,0,1,1,0,10,0,1,0,1,2,2,1,1,1,2,0,0,0,0,0,0,0,0,2,0
AL365214.2,3,2,9,3,0,0,8,5,1,0,1,11,5,4,3,4,9,14,7,1,2,8,2,0,1,8,4,6,3,1,2,2,4,0,4,0,1,4,1,2,0,0,0,1
PLCL2-AS1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC006037.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,2,6,5,3,1,0,1
GAPDHP32,4,1,8,3,3,3,0,1,0,2,0,7,20,16,18,22,5,9,19,2,0,1,27,0,0,2,3,1,4,8,14,10,2,46,0,1,1,0,1,1,0,0,0,0
ACTR3BP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AL117337.1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDY5P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CYP2D8P,12,4,20,13,13,17,2,12,22,14,39,22,42,52,12,104,9,95,29,10,18,3,11,16,16,21,30,21,9,27,10,18,47,25,5,44,6,24,7,22,13,53,46,12
AL121787.1,1,0,0,0,0,2,0,2,1,0,0,1,0,2,0,0,1,1,2,1,1,0,0,1,0,1,0,1,3,0,0,2,6,1,0,0,0,0,0,1,1,0,0,1
AL358794.1,4,3,0,0,1,4,4,0,0,1,2,1,2,2,0,3,3,1,3,2,0,2,2,1,3,3,1,1,2,0,2,3,1,2,1,0,0,2,1,0,1,0,0,0
RPA2P2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC018641.1,1,0,0,1,1,0,0,0,1,1,0,0,2,0,0,28,1,49,7,1,37,0,0,0,0,1,0,1,17,34,1,0,4,1,0,0,0,0,1,0,0,1,1,0
ADAM1B,17,20,4,9,26,6,1,13,5,5,24,20,19,6,15,24,19,8,12,10,4,31,3,5,9,8,21,22,2,6,51,12,5,34,2,7,8,10,18,2,5,16,10,5
RPS29P33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z93930.2,52,60,47,68,26,34,64,30,61,110,69,104,126,65,40,142,34,71,63,39,6,42,25,15,16,59,73,59,43,53,69,84,55,101,42,70,27,26,38,53,49,42,34,87
AC008013.1,8,1,57,2,9,1,2,6,10,19,4,3,12,17,1,10,17,15,9,6,15,0,1,0,3,10,3,7,2,4,11,2,2,4,1,1,0,0,0,1,0,1,0,3
AC079807.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPF3AP1,4,0,0,1,1,0,3,2,1,0,0,8,1,0,1,4,0,0,3,1,1,0,1,2,3,2,0,0,2,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0
OR7H1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ADIPOQ-AS1,2,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL606516.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FTOP1,22,9,10,49,43,9,5,16,58,27,4,3,52,65,20,9,19,49,33,123,22,47,34,13,29,105,34,56,4,54,58,14,36,18,6,117,57,61,82,56,106,100,85,29
RPL26P27,0,0,0,1,1,2,1,2,1,0,1,7,2,1,0,8,3,3,3,6,0,1,0,4,1,1,3,2,2,3,5,7,1,4,1,0,0,1,2,2,1,2,3,3
LINC02549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPSAP21,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AL136380.1,3,6,5,2,2,4,17,0,15,12,8,4,3,4,0,3,7,9,6,4,4,6,3,2,7,3,3,2,4,5,1,4,1,0,5,1,5,0,2,0,1,3,1,0
USF1P1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0
IPMKP1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
LINC01918,6,0,12,0,0,0,2,0,3,0,1,0,1,1,0,0,1,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1
UPK1A-AS1,2,0,0,12,22,0,0,1,0,4,1,5,16,2,2,4,1,3,4,30,0,1,5,0,7,1,0,12,2,3,1,11,0,11,0,0,1,0,0,0,0,0,2,0
FAM138B,1,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,4,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
KIRREL1-IT1,1,1,0,2,0,0,4,1,0,1,4,3,0,0,0,0,0,1,1,0,2,0,0,0,2,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
AC087499.3,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
AC004994.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC074375.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS7P10,14,14,8,33,13,13,28,13,35,10,41,24,16,23,16,40,18,7,23,15,20,18,12,41,18,12,19,30,9,11,17,14,19,10,8,3,12,8,10,5,7,7,7,4
AL049569.1,4,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,4,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0
AL022718.1,2,0,2,0,0,0,1,1,1,2,5,2,2,1,2,2,4,3,2,2,0,0,0,6,0,4,1,0,1,2,1,1,0,1,1,0,0,0,1,1,0,0,1,0
BTBD9-AS1,0,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0
AL445487.1,1,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,2,3,3,1,0,0,0,2,0,2,0,4,6,3,3,3,1,4,3,2
OR7E33P,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC012512.1,5,1,0,1,1,1,0,2,5,2,1,2,1,2,4,2,4,7,91,3,1,1,70,1,4,0,5,3,4,0,176,1,9,3,1,0,0,0,0,0,1,0,0,0
GAPDHP73,0,0,2,1,1,2,1,2,0,0,0,2,0,0,2,3,0,0,1,1,1,0,0,5,0,1,1,1,1,0,3,5,1,0,1,0,0,0,1,0,0,1,0,0
AC114814.1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MYL6P1,0,0,0,2,0,2,4,1,0,1,1,0,0,0,3,1,0,0,1,2,1,1,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P22,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
AL357552.1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC016722.1,0,2,0,2,2,0,0,0,2,0,1,1,2,1,0,2,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0
SCDP1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,3,4,1,1,0,0,2,8,0
BX284613.1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AC018735.1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0
AGKP1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
NPM1P49,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
TRAF6P1,1,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
AL590383.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTH1P20,66,32,107,64,92,46,165,66,49,69,66,65,68,85,41,105,24,44,67,43,50,66,298,158,60,46,58,83,57,73,83,57,23,76,114,25,26,46,53,43,30,40,47,20
AL445493.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AL390962.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL450304.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003071.2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
AC060234.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MICC,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0
AL132657.1,7,4,8,4,6,1,1,2,8,2,1,5,13,5,2,4,10,8,24,6,13,2,2,9,18,4,4,17,5,2,2,22,11,3,4,4,5,1,3,4,7,4,3,1
MTCYBP31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL39P40,0,23,2,28,5,2,44,32,0,53,63,16,93,20,6,20,8,16,22,61,6,1,15,2,4,58,121,35,2,45,8,28,179,12,1,75,33,41,70,35,43,80,36,25
UBE2V1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
