Protein	Count	Glycan
Q91V14	5	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(5)Fuc(1);HexNAc(2)Hex(6)
Q8VI56	1	HexNAc(2)Hex(5)
Q8VI51	3	HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3)
Q8VHY0	1	HexNAc(2)Hex(3)Fuc(1)
Q8VEM1	4	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q8VEK0	10	HexNAc(6)Hex(4);HexNAc(6)Hex(5);HexNAc(2)Hex(5);HexNAc(2)Hex(3);HexNAc(2)Hex(7);HexNAc(4)Hex(5);HexNAc(4)Hex(6);HexNAc(3)Hex(6)NeuAc(1);HexNAc(2)Hex(9);HexNAc(6)Hex(3)
Q8VEB4	7	HexNAc(2)Hex(6)Phospho(1);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3)
Q8VDD5	1	HexNAc(2)Hex(5)
Q8VCM8	2	HexNAc(4)Hex(3);HexNAc(3)Hex(3)
Q8VCE0	1	HexNAc(3)Hex(5)
Q8VCC9	1	HexNAc(2)Hex(5)
Q8VBZ3	7	HexNAc(2)Hex(8);HexNAc(2)Hex(5);HexNAc(2)Hex(7);HexNAc(6)Hex(4);HexNAc(2)Hex(6);HexNAc(2)Hex(9);HexNAc(6)Hex(3)
Q8R4F1	2	HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q8R493	1	HexNAc(2)Hex(1)Fuc(1)
Q8R464	11	HexNAc(4)Hex(6)Fuc(1)NeuAc(1);HexNAc(4)Hex(6)Fuc(2);HexNAc(3)Hex(6)Fuc(1)NeuAc(1);HexNAc(4)Hex(6)Fuc(1);HexNAc(4)Hex(5)Fuc(1);HexNAc(3)Hex(5)Fuc(1);HexNAc(4)Hex(4)Fuc(2);HexNAc(3)Hex(6)Fuc(1);HexNAc(2)Hex(5);HexNAc(2)Hex(8);HexNAc(4)Hex(5)NeuAc(1)
Q8R420	1	HexNAc(2)Hex(3)Fuc(1)
Q8R3H7	3	HexNAc(2)Hex(5);HexNAc(4)Hex(6)Fuc(1);HexNAc(2)Hex(6)
Q8R366	17	HexNAc(2)Hex(6)Fuc(1);HexNAc(2)Hex(7);HexNAc(2)Hex(4)Fuc(1);HexNAc(2)Hex(5);HexNAc(4)Hex(6)Fuc(2);HexNAc(4)Hex(6)Fuc(1);HexNAc(4)Hex(5)Fuc(1);HexNAc(4)Hex(5);HexNAc(3)Hex(5)Fuc(1);HexNAc(3)Hex(5);HexNAc(2)Hex(5)Fuc(1);HexNAc(4)Hex(5)Fuc(3)NeuAc(1);HexNAc(4)Hex(3)NeuAc(1);HexNAc(4)Hex(3)Fuc(1);HexNAc(2)Hex(3)Fuc(1);HexNAc(3)Hex(6)Fuc(1)NeuAc(1);HexNAc(2)Hex(4)
